"AnimalID","GroupID","Location","TrappingPeriod","DateofCapture","GroupSize","Sex","weight","Rainfall","firstcapturedate","censor","Time.days","Time.years","statecode","state"
"KR53F005","Kuruman 53","KRR",NA,"27/05/2020",NA,"Female",NA,64.81177172,2020-04-22,99,35,0.095824778,"ingroupnonbreeder",99
"KR7F005","Kuruman 7","KRR",1,"04/12/2013",17,"Female",75,87.00237235,2013-12-03,NA,0,0,"ingroupnonbreeder",1
"KR7F005",NA,"KRR",NA,"27/07/2014",NA,"Female",NA,NA,2013-12-03,NA,236,0.646132786,"Disappeared",2
"KR7F006","Kuruman 7","KRR",1,"05/12/2013",17,"Female",52,87.00237235,2013-12-03,NA,0,0,"ingroupnonbreeder",1
"KR7F006","Kuruman 7","KRR",2,"08/08/2014",6,"Female",82,4.644637189,2013-12-03,NA,248,0.678986995,"ingroupnonbreeder",1
"KR7F006","Kuruman 7","KRR",3,"04/03/2015",5,"Female",94,108.703723,2013-12-03,NA,456,1.248459959,"ingroupnonbreeder",1
"KR7F006",NA,"KRR",NA,"16/09/2015",NA,"Female",NA,NA,2013-12-03,NA,652,1.785078713,"Disappeared",2
"KR7F012","Kuruman 7","KRR",1,"06/12/2013",17,"Female",49,87.00237235,2013-12-03,NA,0,0,"ingroupnonbreeder",1
"KR7F012","Kuruman 7","KRR",2,"06/08/2014",6,"Female",76,4.644637189,2013-12-03,NA,246,0.673511294,"ingroupnonbreeder",1
"KR7F012","Kuruman 7","KRR",3,"04/03/2015",5,"Female",91,108.703723,2013-12-03,NA,456,1.248459959,"ingroupnonbreeder",1
"KR7F012","Kuruman 7","KRR",5,"17/02/2016",2,"Female",122,111.7311443,2013-12-03,NA,806,2.206707734,"ingroupnonbreeder",1
"KR7F012",NA,"KRR",NA,"25/07/2016",NA,"Female",NA,NA,2013-12-03,NA,965,2.64202601,"Disappeared",2
"KR7F019","Kuruman 7","KRR",10,"14/11/2018",4,"Female",31,17.16380656,2018-11-13,NA,0,0,"ingroupnonbreeder",1
"KR7F019","Kuruman 7","KRR",11,"10/03/2019",6,"Female",54,69.35182863,2018-11-13,NA,117,0.320328542,"ingroupnonbreeder",1
"KR7F019","Kuruman 7","KRR",12,"01/10/2019",11,"Female",88,0.274765418,2018-11-13,NA,322,0.881587953,"ingroupnonbreeder",1
"KR7F019",NA,"KRR",NA,"05/03/2020",NA,"Female",NA,NA,2018-11-13,NA,478,1.308692676,"Disappeared",2
"KR7F020","Kuruman 7","KRR",11,"10/03/2019",6,"Female",59,69.35182863,2019-03-09,NA,0,0,"ingroupnonbreeder",1
"KR7F020","Kuruman 7","KRR",12,"30/09/2019",11,"Female",95,0.274765418,2019-03-09,NA,205,0.561259411,"ingroupnonbreeder",1
"KR7F020","Kuruman 7","KRR",13,"20/05/2020",6,"Female",106,64.81177172,2019-03-09,NA,438,1.199178645,"ingroupnonbreeder",1
"KR7F020","Kuruman 7","KRR",NA,"27/05/2020",NA,"Female",NA,64.81177172,2019-03-09,99,445,1.2183436,"ingroupnonbreeder",99
"KR7F023","Kuruman 7","KRR",12,"01/10/2019",11,"Female",38,0.274765418,2019-09-30,NA,0,0,"ingroupnonbreeder",1
"KR7F023","Kuruman 7","KRR",13,"20/05/2020",6,"Female",75,64.81177172,2019-09-30,NA,233,0.637919233,"ingroupnonbreeder",1
"KR7F023","Kuruman 7","KRR",NA,"27/05/2020",NA,"Female",NA,64.81177172,2019-09-30,99,240,0.657084189,"ingroupnonbreeder",99
"KR7F024","Kuruman 7","KRR",12,"01/10/2019",11,"Female",51,0.274765418,2019-09-30,NA,0,0,"ingroupnonbreeder",1
"KR7F024",NA,"KRR",NA,"05/03/2020",NA,"Female",NA,NA,2019-09-30,NA,157,0.429842574,"Disappeared",2
"KR7F026","Kuruman 7","KRR",12,"03/10/2019",11,"Female",26,0.274765418,2019-09-30,NA,0,0,"ingroupnonbreeder",1
"KR7F026",NA,"KRR",NA,"05/03/2020",NA,"Female",NA,NA,2019-09-30,NA,157,0.429842574,"Disappeared",2
"KR8F009","Kuruman 8","KRR",7,"06/02/2017",12,"Female",57,209.6293089,2017-02-06,NA,0,0,"ingroupnonbreeder",1
"KR8F009","Kuruman 8","KRR",8,"16/08/2017",11,"Female",105,1.34743409,2017-02-06,NA,191,0.5229295,"ingroupnonbreeder",1
"KR8F009",NA,"KRR",NA,"17/03/2018",NA,"Female",NA,NA,2017-02-06,NA,404,1.106091718,"Disappeared",2
"KR8F014","Kuruman 8","KRR",7,"08/02/2017",12,"Female",14,209.6293089,2017-02-06,NA,0,0,"ingroupnonbreeder",1
"KR8F014",NA,"KRR",NA,"31/07/2017",NA,"Female",NA,NA,2017-02-06,NA,175,0.479123888,"Disappeared",2
"KR8F016","Kuruman 8","KRR",8,"14/08/2017",11,"Female",69,1.34743409,2017-08-14,NA,0,0,"ingroupnonbreeder",1
"KR8F016","Kuruman 8","KRR",9,"02/05/2018",16,"Female",93,171.3225646,2017-08-14,NA,261,0.714579055,"ingroupnonbreeder",1
"KR8F016",NA,"KRR",NA,"14/09/2018",NA,"Female",NA,NA,2017-08-14,NA,396,1.084188912,"Disappeared",2
"KR8F017","Kuruman 8","KRR",8,"15/08/2017",11,"Female",43,1.34743409,2017-08-14,NA,0,0,"ingroupnonbreeder",1
"KR8F017","Kuruman 8","KRR",9,"03/05/2018",16,"Female",NA,171.3225646,2017-08-14,NA,262,0.717316906,"ingroupnonbreeder",1
"KR8F017","Kuruman 8","KRR",10,"05/11/2018",16,"Female",118,17.16380656,2017-08-14,NA,448,1.226557153,"ingroupnonbreeder",1
"KR8F017",NA,"KRR",NA,"09/03/2019",NA,"Female",NA,NA,2017-08-14,NA,572,1.56605065,"Disappeared",2
"KR8F021","Kuruman 8","KRR",9,"01/05/2018",16,"Female",47,171.3225646,2018-04-30,NA,0,0,"ingroupnonbreeder",1
"KR8F021","Kuruman 8","KRR",10,"06/11/2018",16,"Female",102,17.16380656,2018-04-30,NA,190,0.52019165,"ingroupnonbreeder",1
"KR8F021",NA,"KRR",NA,"09/03/2019",NA,"Female",NA,NA,2018-04-30,NA,313,0.856947296,"Disappeared",2
"KR8F027","Kuruman 8","KRR",10,"06/11/2018",16,"Female",62,17.16380656,2018-11-05,NA,0,0,"ingroupnonbreeder",1
"KR8F027","Kuruman 8","KRR",11,"10/03/2019",15,"Female",87,69.35182863,2018-11-05,NA,125,0.342231348,"ingroupnonbreeder",1
"KR8F027","Kuruman 8","KRR",12,"16/10/2019",15,"Female",115,5.217065306,2018-11-05,NA,345,0.944558522,"ingroupnonbreeder",1
