"AnimalID","GroupID","Location","TrappingPeriod","DateofCapture","CaptureStart","GroupSize","Sex","weight","firstcapturedate","Time.days","Time.years","statecode","BodyLength"
"KR1F006","Kuruman 1","KRR",2,2014-07-27,"27/07/2014",10,"Female",112,"18/11/2013",251,0.687200548,"femalenonbreeder",16.95
"KR1F006","Kuruman 1","KRR",3,2015-02-16,"16/02/2015",10,"Female",127,"18/11/2013",455,1.245722108,"femalenonbreeder",17.5
"KR1F006","Kuruman 1","KRR",4,2015-10-16,"14/10/2015",7,"Female",156,"18/11/2013",697,1.908281999,"femalenonbreeder",18.65
"KR1F006","Kuruman 1","KRR",5,2016-04-27,"26/04/2016",9,"Female",162,"18/11/2013",891,2.439425051,"femalenonbreeder",18.5
"KR1F006","Kuruman 1","KRR",7,2017-05-03,"03/05/2017",4,"Female",169,"18/11/2013",1262,3.455167693,"femalenonbreeder",19.15
"KR1F006","Kuruman 1","KRR",8,2017-10-09,"09/10/2017",4,"Female",165,"18/11/2013",1421,3.890485969,"femalenonbreeder",19.25
"KR1F006","Kuruman 1","KRR",9,2018-03-23,"23/03/2018",4,"Female",168,"18/11/2013",1586,4.342231348,"femalenonbreeder",19
"KR1F011","Kuruman 1","KRR",1,2013-11-20,"17/11/2013",18,"Female",125,"20/11/2013",0,0,"femalenonbreeder",17.6
"KR1F012","Kuruman 1","KRR",3,2015-02-17,"16/02/2015",10,"Female",115,"20/11/2013",454,1.242984257,"femalenonbreeder",16.75
"KR1F014","Kuruman 1","KRR",1,2013-11-21,"17/11/2013",18,"Female",107,"21/11/2013",0,0,"femalenonbreeder",16.45
"KR1F014","Kuruman 22","KRR",4,2015-09-27,"27/09/2015",1,"Female",144,"21/11/2013",675,1.848049281,"single",18
"KR1F014","Kuruman 22","KRR",5,2016-03-17,"17/03/2016",1,"Female",142,"21/11/2013",847,2.318959617,"single",18.1
"KR1F014","Kuruman 22","KRR",7,2017-02-13,"13/02/2017",1,"Female",154,"21/11/2013",1180,3.230663929,"single",18.05
"KR1F015","Kuruman 1","KRR",3,2015-02-17,"16/02/2015",10,"Female",106,"22/11/2013",452,1.237508556,"femalenonbreeder",16.8
"KR1F015","Kuruman 24","KRR",4,2015-10-16,"14/10/2015",1,"Female",102,"22/11/2013",693,1.897330595,"single",16.7
"KR1F015","Kuruman 24","KRR",5,2016-05-03,"02/05/2016",1,"Female",115,"22/11/2013",893,2.444900753,"single",16.95
"KR1F018","Kuruman 1","KRR",4,2015-10-15,"14/10/2015",7,"Female",144,"27/07/2014",445,1.2183436,"femalenonbreeder",18.6
"KR1F018","Kuruman 1","KRR",5,2016-04-27,"26/04/2016",9,"Female",148,"27/07/2014",640,1.752224504,"femalenonbreeder",18.8
"KR1F019","Kuruman 1","KRR",4,2015-10-15,"14/10/2015",7,"Female",127,"28/07/2014",444,1.215605749,"femalenonbreeder",17.65
"KR1F019","Kuruman 1","KRR",5,2016-04-27,"26/04/2016",9,"Female",119,"28/07/2014",639,1.749486653,"femalenonbreeder",17.7
"KR1F022","Kuruman 1","KRR",8,2017-10-09,"09/10/2017",4,"Female",112,"03/05/2017",159,0.435318275,"femalenonbreeder",17.2
"KR1F022","Kuruman 1","KRR",9,2018-03-23,"23/03/2018",4,"Female",134,"03/05/2017",324,0.887063655,"femalenonbreeder",17.4
"KR20F007","Kuruman 20","KRR",10,2018-09-23,"21/09/2018",14,"Female",104,"02/08/2017",417,1.141683778,"femalenonbreeder",17.4
"KR20F009","Kuruman 51","KRR",13,2020-03-24,"23/03/2020",1,"Female",112,"13/05/2018",681,1.864476386,"single",17.25
"KR20F011","Kuruman 20","KRR",10,2018-09-22,"21/09/2018",14,"Female",99,"12/05/2018",133,0.364134155,"femalenonbreeder",17.4
"KR20F011","Kuruman 20","KRR",11,2019-03-26,"25/03/2019",17,"Female",115,"12/05/2018",318,0.87063655,"femalenonbreeder",17.05
"KR20F012","Kuruman 20","KRR",11,2019-03-25,"25/03/2019",17,"Female",93,"12/05/2018",317,0.8678987,"femalenonbreeder",16.4
"KR20F012","Kuruman 20","KRR",13,2020-04-06,"06/04/2020",19,"Female",124,"12/05/2018",695,1.902806297,"femalenonbreeder",17.75
"KR20F013","Kuruman 20","KRR",10,2018-09-21,"21/09/2018",14,"Female",78,"09/05/2018",135,0.369609856,"femalenonbreeder",16.3
"KR20F013","Kuruman 20","KRR",11,2019-03-26,"25/03/2019",17,"Female",100,"09/05/2018",321,0.878850103,"femalenonbreeder",16.75
