"AnimalID","GroupID","Location","TrappingPeriod","DateofCapture","CaptureStart","CaptureEnd","GroupSize","Sex","weight","Rainfall","firstcapturedate","censor","Time.days","Time.years","statecode","state","id"
"KR13F025","Kuruman 13","KRR",1,"27/01/2014",2014-01-22,"28/01/2014",26,"Female",30,118.8639779,2014-01-22,NA,5,0.013689254,"ingroupnonbreeder","1","8"
"KR13F025","Kuruman 13","KRR",2,"05/08/2014",2014-08-05,"08/08/2014",21,"Female",76,4.644637189,2014-01-22,NA,195,0.533880903,"ingroupnonbreeder","1","8"
"KR13F025","Kuruman 13","KRR",3,"11/02/2015",2015-02-10,"13/02/2015",23,"Female",88,60.89109671,2014-01-22,NA,385,1.054072553,"ingroupnonbreeder","1","8"
"KR13F025","Kuruman 13","KRR",4,"20/09/2015",2015-09-20,"24/09/2015",22,"Female",112,8.396498455,2014-01-22,NA,606,1.659137577,"ingroupnonbreeder","1","8"
"KR13F025","Kuruman 13","KRR",5,"12/04/2016",2016-04-12,"16/04/2016",24,"Female",111,116.8075972,2014-01-22,NA,811,2.220396988,"ingroupnonbreeder","1","8"
"KR13F025","Kuruman 26","KRR",5,"30/05/2016",2016-05-30,"30/05/2016",1,"Female",110,107.0173495,2014-01-22,NA,859,2.351813826,"Disappeared","2","8"
"L13F014","Lonely 13","Lonely",2,"02/03/2014",2014-03-01,"04/03/2014",10,"Female",37,263.0608928,2014-03-01,NA,0,0,"ingroupnonbreeder","1","9"
"L13F014","Lonely 13","Lonely",3,"16/09/2014",2014-09-16,"19/09/2014",8,"Female",124,6.702013991,2014-03-01,NA,199,0.544832307,"ingroupnonbreeder","1","9"
"L13F014","Lonely 13","Lonely",4,"26/03/2015",2015-03-26,"28/03/2015",8,"Female",104,108.703723,2014-03-01,NA,390,1.067761807,"ingroupnonbreeder","1","9"
"L13F014",NA,"Lonely",NA,"08/02/2016",2016-02-08,NA,8,NA,NA,NA,2014-03-01,NA,709,1.941136208,"Disappeared","2","9"
"L14F009","Lonely 14","Lonely",2,"03/03/2014",2014-03-01,"03/03/2014",13,"Female",46,263.0608928,2014-03-01,NA,0,0,"ingroupnonbreeder","1","10"
"L14F009","Lonely 14","Lonely",3,"16/09/2014",2014-09-16,"17/09/2014",8,"Female",94,6.702013991,2014-03-01,NA,199,0.544832307,"ingroupnonbreeder","1","10"
"L14F009","Lonely 14","Lonely",4,"29/01/2015",2015-01-29,"31/01/2015",8,"Female",105,72.65603459,2014-03-01,NA,334,0.914442163,"ingroupnonbreeder","1","10"
"L14F009",NA,"Lonely",NA,"08/02/2016",2016-02-08,NA,8,NA,NA,NA,2014-03-01,NA,709,1.941136208,"Disappeared","2","10"
"L40F001","Lonely 66","Lonely",2,"10/03/2014",2014-03-09,"12/03/2014",6,"Female",71,189.4909852,2014-03-09,NA,0,0,"ingroupnonbreeder","1","11"
"L40F001",NA,"Lonely",NA,"16/09/2014",2014-09-16,NA,6,NA,NA,NA,2014-03-09,NA,191,0.5229295,"Disappeared","2","11"
"L40F004","Lonely 66","Lonely",2,"11/03/2014",2014-03-09,"12/03/2014",6,"Female",29,189.4909852,2014-03-09,NA,0,0,"ingroupnonbreeder","1","12"
"L40F004",NA,"Lonely",NA,"16/09/2014",2014-09-16,NA,6,NA,NA,NA,2014-03-09,NA,191,0.5229295,"Disappeared","2","12"
"L40F005","Lonely 66","Lonely",2,"11/03/2014",2014-03-09,"12/03/2014",6,"Female",79,189.4909852,2014-03-09,NA,0,0,"ingroupnonbreeder","1","13"
"L40F005",NA,"Lonely",NA,"16/09/2014",2014-09-16,NA,6,NA,NA,NA,2014-03-09,NA,191,0.5229295,"Disappeared","2","13"
"L40F006","Lonely 66","Lonely",2,"12/03/2014",2014-03-09,"12/03/2014",6,"Female",27,189.4909852,2014-03-09,NA,0,0,"ingroupnonbreeder","1","14"
"L40F006","Lonely 40","Lonely",6,"23/09/2016",2016-09-22,"23/09/2016",10,"Female",145,4.678070845,2014-03-09,NA,929,2.543463381,"Disappeared","2","14"
