AnimalID,Sex,DateofCapture,DateofRecapture,weight,weight2,GroupID,GroupSize,QueenID,GroupSizeRecapture,timediff,rateofbodymassgrowth
KR31F008,Female,24/11/2019,20/04/2020,55,88,Kuruman 31,13,KR31F005,17,148,0.222972973
KR31F009,Female,24/11/2019,21/04/2020,102,120,Kuruman 31,13,KR31F005,17,149,0.120805369
KR31F011,Female,24/11/2019,21/04/2020,105,119,Kuruman 31,13,KR31F005,17,149,0.093959732
KR31F012,Female,25/11/2019,20/04/2020,124,117,Kuruman 31,13,KR31F005,17,147,-0.047619048
KR31F016,Female,25/11/2019,20/04/2020,139,133,Kuruman 31,13,KR31F005,17,147,-0.040816327
KR31F017,Female,26/11/2019,20/04/2020,53,89,Kuruman 31,13,KR31F005,17,146,0.246575342
KR33F001,Female,18/04/2019,08/10/2019,95,93,Kuruman 33,7,KR1F019,7,173,-0.011560694
KR33F001,Female,08/10/2019,16/04/2020,93,91,Kuruman 33,7,KR1F019,6,191,-0.010471204
KR33F003,Female,16/10/2018,16/04/2019,85,91,Kuruman 33,5,KR1F019,7,182,0.032967033
KR33F003,Female,16/04/2019,08/10/2019,91,95,Kuruman 33,7,KR1F019,7,175,0.022857143
KR33F003,Female,08/10/2019,15/04/2020,95,94,Kuruman 33,7,KR1F019,6,190,-0.005263158
KR33F004,Female,16/10/2018,16/04/2019,78,93,Kuruman 33,5,KR1F019,7,182,0.082417582
KR33F004,Female,16/04/2019,08/10/2019,93,90,Kuruman 33,7,KR1F019,7,175,-0.017142857
KR33F005,Female,15/04/2019,08/10/2019,49,66,Kuruman 33,7,KR1F019,7,176,0.096590909
KR33F005,Female,08/10/2019,15/04/2020,66,71,Kuruman 33,7,KR1F019,6,190,0.026315789
KR34F005,Female,08/04/2019,09/09/2019,64,68,Kuruman 34,7,KR13F043,8,154,0.025974026
KR34F005,Female,09/09/2019,01/04/2020,68,79,Kuruman 34,8,KR13F043,8,205,0.053658537
KR34F006,Female,11/09/2019,02/04/2020,70,78,Kuruman 34,8,KR13F043,8,204,0.039215686
KR34F007,Female,12/09/2019,01/04/2020,63,77,Kuruman 34,8,KR13F043,8,202,0.069306931
KR35F001,Female,04/04/2019,06/10/2019,55,79,Kuruman 35,5,KR13F040,7,185,0.12972973
KR35F003,Female,05/04/2019,06/10/2019,42,71,Kuruman 35,5,KR13F040,7,184,0.157608696
KR35F003,Female,06/10/2019,13/04/2020,71,80,Kuruman 35,7,KR13F040,9,190,0.047368421
KR35F004,Female,06/10/2019,13/04/2020,24,72,Kuruman 35,7,KR13F040,9,190,0.252631579
KR36F003,Female,08/05/2017,10/10/2017,77,93,Kuruman 36,14,KR1F004,14,155,0.103225806
KR36F003,Female,10/10/2017,18/04/2018,93,130,Kuruman 36,14,KR1F004,9,190,0.194736842
KR36F003,Female,18/04/2018,14/10/2018,130,122,Kuruman 36,9,KR1F004,12,179,-0.044692737
KR36F003,Female,14/10/2018,16/04/2019,122,139,Kuruman 36,12,KR1F004,15,184,0.092391304
KR36F004,Female,08/05/2017,09/10/2017,77,97,Kuruman 36,14,KR1F004,14,154,0.12987013
KR36F004,Female,09/10/2017,19/04/2018,97,116,Kuruman 36,14,KR1F004,9,192,0.098958333
KR36F006,Female,09/05/2017,09/10/2017,89,102,Kuruman 36,14,KR1F004,14,153,0.08496732
KR36F006,Female,09/10/2017,20/04/2018,102,121,Kuruman 36,14,KR1F004,9,193,0.098445596
KR36F008,Female,09/05/2017,10/10/2017,97,114,Kuruman 36,14,KR1F004,14,154,0.11038961
KR36F009,Female,09/05/2017,09/10/2017,101,121,Kuruman 36,14,KR1F004,14,153,0.130718954
KR36F010,Female,09/05/2017,09/10/2017,36,78,Kuruman 36,14,KR1F004,14,153,0.274509804
KR36F010,Female,09/10/2017,20/04/2018,78,90,Kuruman 36,14,KR1F004,9,193,0.062176166
KR36F010,Female,20/04/2018,14/10/2018,90,109,Kuruman 36,9,KR1F004,12,177,0.107344633
KR36F010,Female,31/10/2019,11/05/2020,113,115,Kuruman 36,4,NA,8,193,0.010362694
KR36F012,Female,10/05/2017,10/10/2017,149,154,Kuruman 36,14,KR1F004,14,153,0.032679739
KR36F012,Female,14/10/2018,16/04/2019,153,184,Kuruman 36,12,KR1F004,15,184,0.168478261
KR36F018,Female,13/10/2018,15/04/2019,73,110,Kuruman 36,12,KR1F004,15,184,0.201086957
KR36F018,Female,15/04/2019,31/10/2019,110,114,Kuruman 36,15,KR1F004,4,199,0.020100503
KR36F018,Female,31/10/2019,11/05/2020,114,125,Kuruman 36,4,NA,8,193,0.056994819
KR36F019,Female,14/10/2018,15/04/2019,68,98,Kuruman 36,12,KR1F004,15,183,0.163934426
KR36F019,Female,15/04/2019,31/10/2019,98,98,Kuruman 36,15,KR1F004,4,199,0
KR36F019,Female,31/10/2019,12/05/2020,98,110,Kuruman 36,4,NA,8,194,0.06185567
KR36F020,Female,14/10/2018,15/04/2019,113,143,Kuruman 36,12,KR1F004,15,183,0.163934426
KR42F001,Female,17/10/2018,13/03/2019,46,70,Kuruman 42,3,KR1F022,6,147,0.163265306
KR42F001,Female,13/03/2019,06/10/2019,70,91,Kuruman 42,6,KR1F022,7,207,0.101449275
KR42F001,Female,06/10/2019,14/03/2020,91,103,Kuruman 42,7,KR1F022,7,160,0.075
KR42F002,Female,12/03/2019,06/10/2019,53,88,Kuruman 42,6,KR1F022,7,208,0.168269231
KR42F002,Female,06/10/2019,09/03/2020,88,92,Kuruman 42,7,KR1F022,7,155,0.025806452
KR42F005,Female,09/10/2019,10/03/2020,77,88,Kuruman 42,7,KR1F022,7,153,0.071895425
KR43F002,Female,20/03/2019,16/09/2019,66,96,Kuruman 43,5,KR13F038,7,180,0.166666667
KR43F002,Female,16/09/2019,16/03/2020,96,110,Kuruman 43,7,KR13F038,10,182,0.076923077
KR43F003,Female,26/11/2018,19/03/2019,43,54,Kuruman 43,5,KR13F038,5,113,0.097345133
KR43F003,Female,19/03/2019,16/09/2019,54,77,Kuruman 43,5,KR13F038,7,181,0.127071823
KR43F003,Female,16/09/2019,16/03/2020,77,92,Kuruman 43,7,KR13F038,10,182,0.082417582
KR43F004,Female,16/09/2019,16/03/2020,28,67,Kuruman 43,7,KR13F038,10,182,0.214285714
KR43F006,Female,18/09/2019,17/03/2020,27,69,Kuruman 43,7,KR13F038,10,181,0.232044199
KR46F001,Female,03/04/2019,02/10/2019,119,123,Kuruman 46,1,NA,1,182,0.021978022
KR46F001,Female,02/10/2019,20/05/2020,123,128,Kuruman 46,1,NA,1,231,0.021645022
KR47F001,Female,21/10/2019,26/03/2020,116,127,Kuruman 47,1,NA,1,157,0.070063694
KR49F009,Female,28/10/2019,19/05/2020,57,80,Kuruman 49,17,KR49F016,13,204,0.112745098
KR49M014,Female,29/10/2019,20/05/2020,72,99,Kuruman 49,17,KR49F016,13,204,0.132352941
KR7F006,Female,05/12/2013,08/08/2014,52,82,Kuruman 7,17,KR7F010,6,246,0.12195122
KR7F006,Female,08/08/2014,04/03/2015,82,94,Kuruman 7,6,NA,5,208,0.057692308
KR7F007,Female,05/12/2013,06/08/2014,137,124,Kuruman 7,17,KR7F010,6,244,-0.053278689
